label_idx,OT_true,exog_temp,emb_cluster
39905,720.63,-11.7,0
39906,808.98,-11.81,0
39907,562.42,-11.81,0
39908,674.46,-11.89,0
39909,662.9,-11.79,0
39899,1149.3,-11.8,0
39888,708.99,-11.34,0
39887,385.98,-11.07,0
39886,331.95,-11.05,0
39867,363.32,-11.22,0
39868,392.85,-11.16,0
39869,697.49,-11.21,0
39870,710.07,-11.18,0
39871,626.01,-11.21,0
39872,623.57,-11.26,0
39873,441.74,-11.31,0
39874,486.07,-11.4,0
39875,501.04,-11.27,0
39876,674.05,-11.44,0
39877,485.96,-11.3,0
39878,516.58,-11.3,0
39879,535.81,-11.28,0
39880,535.3,-11.34,0
39881,535.18,-11.43,0
39882,713.88,-11.6,0
39883,606.38,-11.3,0
39884,678.17,-11.17,0
39885,496.88,-11.12,0
39865,372.71,-11.38,0
39814,898.84,-11.0,0
40038,812.25,-13.91,0
40040,726.46,-13.97,0
40161,405.22,-15.96,0
40162,426.3,-15.98,0
40163,417.44,-16.1,0
40164,361.1,-16.04,0
40165,349.21,-16.03,0
40166,374.03,-16.01,0
40167,362.59,-16.04,0
40168,346.39,-16.1,0
40160,405.12,-15.93,0
40169,274.59,-16.12,0
40171,221.03,-16.17,0
40172,224.87,-16.11,0
40173,219.1,-16.13,0
40174,203.53,-16.11,0
40175,211.92,-16.11,0
40176,210.71,-16.14,0
40177,195.91,-16.28,0
40178,176.21,-16.31,0
40170,218.04,-16.11,0
40179,145.12,-16.31,0
40159,444.16,-15.88,0
40157,434.39,-15.81,0
40139,633.98,-15.41,0
40140,651.45,-15.52,0
40141,562.44,-15.53,0
40142,533.48,-15.46,0
40143,626.18,-15.59,0
40144,581.11,-15.61,0
40145,577.86,-15.61,0
40146,492.96,-15.54,0
40158,423.07,-15.81,0
40147,526.93,-15.61,0
40149,425.57,-15.67,0
40150,386.42,-15.68,0
40151,492.44,-15.73,0
40152,419.31,-15.8,0
40153,393.19,-15.81,0
40154,385.45,-15.77,0
40155,351.03,-15.71,0
40156,428.48,-15.76,0
40148,485.9,-15.61,0
40180,134.52,-16.31,0
40181,156.43,-16.37,0
40182,155.08,-16.37,0
40206,85.91,-16.61,0
40207,85.19,-16.61,0
40208,81.1,-16.62,0
40209,84.06,-16.66,0
40210,87.76,-16.61,0
40211,81.61,-16.68,0
40212,72.79,-16.64,0
40213,78.88,-16.71,0
40205,89.06,-16.61,0
40214,79.05,-16.71,0
40216,179.78,-16.64,0
40217,163.22,-16.71,0
40218,99.08,-16.65,0
40219,95.5,-16.71,0
40220,95.78,-16.71,0
40221,102.89,-16.71,0
40222,109.67,-16.71,0
40223,92.71,-16.72,0
40215,131.86,-16.65,0
40204,91.57,-16.58,0
40203,107.16,-16.56,0
40202,115.58,-16.61,0
