label_idx,OT_true,exog_temp,emb_cluster,should_close_true,should_close_pred
39534,-5.49,-12.74,0,1,1
39535,-5.43,-11.89,0,1,1
39536,-6.06,-11.36,0,1,1
39537,-5.83,-11.57,0,1,1
39538,-6.11,-11.7,0,1,1
39539,-5.49,-11.66,0,1,1
39540,-5.66,-12.16,0,1,1
39532,-5.77,-12.54,0,1,1
39564,-5.83,-11.92,0,1,1
39565,-5.31,-12.04,0,1,1
39566,-5.54,-11.88,0,1,1
39590,-5.6,-8.94,0,1,1
39591,-5.88,-8.84,0,1,1
39592,-5.49,-8.83,0,1,1
39593,-5.32,-9.28,0,1,1
39594,-5.6,-9.08,0,1,1
39595,-6.06,-9.7,0,1,1
39596,-19.63,-9.97,0,1,1
39597,-14.4,-9.55,0,1,1
39589,-5.89,-9.3,0,1,1
39598,-14.28,-9.42,0,1,1
39600,-16.45,-9.47,0,1,1
39601,-15.12,-9.78,0,1,1
39602,-15.14,-9.44,0,1,1
39603,-18.32,-9.72,0,1,1
39604,-14.33,-9.59,0,1,1
39605,-14.06,-9.78,0,1,1
39606,-17.07,-9.92,0,1,1
39607,-11.59,-9.8,0,1,1
39599,-13.26,-9.26,0,1,1
39588,-6.0,-9.55,0,1,1
39587,-5.37,-9.46,0,1,1
39586,-5.6,-9.42,0,1,1
39567,-6.0,-11.87,0,1,1
39568,-6.09,-11.72,0,1,1
39569,-6.03,-11.86,0,1,1
39570,-5.94,-11.22,0,1,1
39571,-5.94,-10.37,0,1,1
39572,-5.49,-9.83,0,1,1
39573,-5.89,-10.0,0,1,1
39574,-5.49,-10.05,0,1,1
39575,-6.11,-10.23,0,1,1
39576,-5.83,-10.24,0,1,1
39577,-5.66,-10.1,0,1,1
39578,-6.11,-9.73,0,1,1
39579,-5.83,-9.82,0,1,1
39580,-5.37,-9.65,0,1,1
39581,-5.6,-9.88,0,1,1
39582,-5.54,-10.14,0,1,1
39583,-5.54,-9.68,0,1,1
39584,-5.32,-10.21,0,1,1
39585,-5.77,-9.32,0,1,1
39522,-5.6,-13.02,0,1,1
39521,-5.32,-12.86,0,1,1
39520,-5.32,-12.46,0,1,1
39519,-5.72,-12.24,0,1,1
39456,-5.26,-13.12,0,1,1
39457,-5.26,-12.91,0,1,1
39458,-5.08,-12.97,0,1,1
39459,-5.6,-12.61,0,1,1
39460,-4.85,-12.66,0,1,1
39461,-5.08,-12.69,0,1,1
39462,-5.66,-12.66,0,1,1
39463,-6.06,-12.79,0,1,1
39455,-5.6,-13.13,0,1,1
39464,-5.66,-12.79,0,1,1
39466,-5.54,-13.0,0,1,1
39467,-5.57,-12.68,0,1,1
39468,-5.27,-12.54,0,1,1
39469,-5.7,-12.43,0,1,1
39470,-5.39,-13.0,0,1,1
39471,-5.28,-13.69,0,1,1
39472,-5.15,-13.1,0,1,1
39473,-5.39,-12.78,0,1,1
39465,-5.77,-12.8,0,1,1
39454,-5.66,-13.16,0,1,1
39453,-5.54,-13.08,0,1,1
39452,-4.4,-12.89,0,1,1
39433,-5.43,-13.5,0,1,1
39434,-5.2,-13.99,0,1,1
39435,-5.54,-14.59,0,1,1
39436,-5.54,-14.32,0,1,1
39437,-5.72,-14.12,0,1,1
39438,-5.83,-13.95,0,1,1
39439,-6.06,-13.88,0,1,1
39440,-5.66,-13.7,0,1,1
39441,-5.54,-13.32,0,1,1
39442,-5.75,-13.27,0,1,1
39443,-5.71,-13.32,0,1,1
39444,-6.34,-13.32,0,1,1
39445,-5.72,-13.33,0,1,1
39446,-5.83,-13.17,0,1,1
39447,-6.17,-13.24,0,1,1
39448,-4.8,-13.13,0,1,1
39449,-5.43,-12.95,0,1,1
39450,-5.54,-12.83,0,1,1
39451,-5.25,-12.96,0,1,1
39474,-5.63,-13.12,0,1,1
39608,-6.72,-9.86,0,1,1
39475,-5.0,-12.48,0,1,1
39477,-5.15,-12.85,0,1,1
39501,-7.96,-12.57,0,1,1
39502,-5.54,-12.57,0,1,1
39503,-5.57,-13.38,0,1,1
39504,-5.82,-12.95,0,1,1
39505,-5.8,-12.69,0,1,1
39506,-5.7,-12.44,0,1,1
39507,-5.94,-12.5,0,1,1
39508,-5.51,-12.48,0,1,1
39500,-7.34,-12.85,0,1,1
39509,-5.67,-12.14,0,1,1
39511,-5.45,-12.66,0,1,1
39512,-5.66,-12.34,0,1,1
39513,-5.88,-12.43,0,1,1
39514,-5.89,-12.62,0,1,1
39515,-5.43,-12.49,0,1,1
39516,-6.11,-12.18,0,1,1
